Hurricane_YEAR,Landfall_City,Lat,Lon,Landfall_Pop_Dens_sq_mile,Pathway_Towns ,Pathway_Town_Population_Densities,Fatalities,Max_Wind_Speed_mph,Pressure_mb,Storm_Surge_ft,Precipitation_Total_in
Florida Keys (1909),"Key West, FL ",24.55,-81.78,850," Marathon, FL ",650,10,105,970,8,6
Galveston (1900),"Galveston, TX ",29.3,-94.79,950," Houston, TX ",900,6000,145,936,15,10
Key West (1899),"Key West, FL ",24.55,-81.78,850," Marathon, FL ",600,334,120,945,12,12
Georgia (1898),"Savannah, GA ",32.08,-81.1,800," Brunswick, GA ",650,179,115,950,9,9
Cedar Key (1896),"Cedar Key, FL ",29.14,-83.03,750," Tampa, FL ",900,70,130,942,14,13
South Carolina (1894),"Charleston, SC ",32.78,-79.93,700," Myrtle Beach, SC ",300,34,110,960,10,8
Cheniere Caminada (1893),"Cheniere Caminada, LA ",29.45,-90.26,650," Houma, LA ",450,2000,140,934,20,15
Sea Islands (1893),"Sea Islands, GA ",31.21,-81.39,600," Savannah, GA ",800,2000,130,939,18,14
Louisiana (1893),"Morgan City, LA ",29.7,-91.21,700," New Orleans, LA ",900,1100,125,941,14,13
Key West (1888),"Key West, FL ",24.55,-81.78,700," Marathon, FL ",210,130,115,960,10,9
Indianola (1886),"Indianola, TX ",28.53,-96.52,650," Victoria, TX ",750,150,140,933,20,15
Sabine Pass (1886),"Sabine Pass, TX ",29.73,-93.87,600," Port Arthur, TX ",900,195,130,940,18,14
Charleston (1885),"Charleston, SC ",32.78,-79.93,550," Myrtle Beach, SC ",600,35,110,950,12,10
Mississippi (1882),"Biloxi, MS ",30.39,-88.89,500," Gulfport, MS ",650,50,100,970,8,7
Southeast Florida (1880),"Miami, FL ",25.76,-80.19,600," West Palm Beach, FL ",650,17,110,955,10,8
Cape Lookout (1879),"Cape Lookout, NC ",34.62,-76.53,550," Wilmington, NC ",600,46,115,950,9,10
Louisiana (1879),"New Orleans, LA ",29.95,-90.07,700," Baton Rouge, LA ",700,43,120,945,12,9
Indianola (1877),"Indianola, TX ",28.53,-96.52,650," Victoria, TX ",650,84,130,940,15,13
Galveston (1875),"Galveston, TX ",29.3,-94.79,800," Houston, TX ",925,26,125,947,14,12
Nova Scotia (1873),"Halifax, NS ",44.65,-63.57,500," Yarmouth, NS ",650,223,100,970,8,7
Tampa Bay (1871),"Tampa, FL ",27.95,-82.46,750," St. Petersburg, FL ",850,35,115,960,11,9
New England (1869),"Providence, RI ",41.82,-71.41,500," Boston, MA ","1,200",40,110,960,9,8
Louisiana-Texas (1860),"Lake Charles, LA ",30.22,-93.22,600," Port Arthur, TX ",600,36,125,945,14,12
Mississippi-Alabama (1860),"Biloxi, MS ",30.39,-88.89,550," Mobile, AL ",800,55,115,950,12,10
Mobile (1855),"Mobile, AL ",30.69,-88.04,700," Gulf Shores, AL ",700,45,120,947,15,13
Savannah (1854),"Savannah, GA ",32.08,-81.1,650," Charleston, SC ",600,34,110,960,10,9
Pensacola (1852),"Pensacola, FL ",30.42,-87.22,500," Destin, FL ",105,19,100,970,8,7
Tampa Bay (1851),"Tampa, FL ",27.95,-82.46,750," St. Petersburg, FL ",300,30,105,955,9,8
