Year,Hurricanes,Fatalities,Max Wind Speed_mph,Pressure_MB,Storm Surge_ft,Precip_total_in,RISK_SCORE,Population Density,Damage Index,Preparedness_Score
2006,Alberto ,5,65,997,3,18,74.00572701,14.2028116,2377484.992,27
2005,Dennis ,42,150,946,7,18,91.37766465,38.12573296,7133036.4,20
2005,Katrina ,1200,175,902,28,42,96.97741012,1085.540224,164551485.7,45
2005,Rita ,120,120,937,15,32,98.15462934,679.3793039,100685812.8,45
2005,Wilma ,87,150,882,12,35,98.85459752,142.6813731,31368979.26,23
2004,Charley ,15,150,947,6,25,96.59560929,195.1654565,32883219.68,19
2004,Frances ,7,105,960,4,22,96.53197582,208.019349,38546008.35,30
2004,Ivan ,92,140,946,10,30,70.21953548,93.01727792,11729769.11,33
2004,Jeanne ,3,120,950,6,20,98.31371301,473.3492404,63775853.06,28
2003,Claudette ,2,90,980,4,15,85.14158447,19.22843165,4604026.356,42
2003,Isabel ,51,105,957,7,28,99.1091314,228.6120454,35395696.97,38
2002,Isidore ,7,70,964,5,18,88.45052498,48.4461571,8563994.824,25
2002,Lili ,15,90,953,6,22,89.85046134,36.79378339,4645807.564,38
2000,Alberto ,12,110,980,7,24,98.79096405,249.6095847,45779091.3,39
1999,Bret ,7,125,944,8,20,98.47279669,325.8185746,42345902.17,14
1999,Floyd ,57,155,921,10,25,98.50461343,678.3809575,154315259.8,43
1998,Bonnie ,3,115,954,5,20,98.50461343,678.3809575,154315259.8,43
1998,Georges ,16,105,964,8,28,97.20012727,209.3995808,37530903.59,33
1997,Danny ,9,70,984,6,20,95.99109131,135.8231469,21889130.2,38
1996,Bertha ,12,105,977,6,20,98.50461343,678.3809575,154315259.8,43
1996,Fran ,37,120,960,8,28,98.50461343,678.3809575,154315259.8,43
1995,Erin ,6,85,984,4,18,97.07286032,256.3151335,45932259.66,31
1995,Opal ,59,115,942,8,26,91.37766465,38.12573296,7133036.4,20
1992,Andrew ,65,165,922,17,30,99.80909959,1118.186799,132590714.1,39
1992,Bonnie ,6,95,980,5,18,98.50461343,678.3809575,154315259.8,43
1989,Hugo ,49,140,934,20,30,99.45911549,297.2389092,62692809.24,49
1989,Jerry ,3,75,987,6,20,99.52274897,397.0468222,64287263.13,43
1988,Florence ,4,65,987,4,16,95.99109131,135.8231469,21889130.2,38
1988,Gilbert ,318,125,888,8,28,98.47279669,325.8185746,42345902.17,14
1987,Emily ,3,110,988,6,18,96.72287623,569.9956771,88099559.43,32
1986,Bonnie ,5,75,995,4,16,99.52274897,397.0468222,64287263.13,43
1986,Andrew ,8,75,990,6,22,98.47279669,325.8185746,42345902.17,14
1985,Elena ,4,110,953,10,26,97.20012727,209.3995808,37530903.59,33
1985,Gloria ,8,105,946,6,20,98.1228126,27960.14273,3383459508,7
1984,Diana ,3,115,954,6,22,98.50461343,678.3809575,154315259.8,43
1983,Alicia ,21,115,962,12,20,99.52274897,397.0468222,64287263.13,43
1980,Allen ,269,190,899,15,28,98.47279669,325.8185746,42345902.17,14
1980,Bonnie ,5,85,995,4,18,99.52274897,397.0468222,64287263.13,43
1977,Babe ,5,65,990,4,18,96.37289214,52.05432755,10439344.18,43
1977,Dorothy ,3,75,987,6,20,99.52274897,397.0468222,64287263.13,43
1976,Belle ,12,105,970,6,24,98.1228126,27960.14273,3383459508,7
1975,Eloise ,76,120,955,14,32,97.48647789,118.0328849,21813530.08,23
1974,Carmen ,8,130,928,10,30,94.71842189,43.60016962,10365336.95,37
1972,Agnes ,122,75,978,4,36,97.48647789,118.0328849,21813530.08,23
1971,Edith ,37,115,960,10,28,98.47279669,325.8185746,42345902.17,14
1971,Ginger ,1,85,970,4,16,97.10467706,50.32210886,12953559.99,43
1970,Celia ,28,125,944,10,20,97.55011136,299.5414346,47444338.04,37
1969,Camille ,259,190,900,24,36,97.20012727,209.3995808,37530903.59,33
1969,Blanche ,2,75,995,6,16,98.47279669,325.8185746,42345902.17,14
1968,Brenda ,3,70,987,6,16,99.52274897,397.0468222,64287263.13,43
1968,Gladys ,5,85,965,4,20,83.26439707,26.60208926,2925768.589,21
1967,Beulah ,58,160,923,18,27,98.47279669,325.8185746,42345902.17,14
1967,Chloe ,2,90,923,18,27,98.47279669,325.8185746,42345902.17,14
1961,Carla ,43,175,931,22,13,85.14158447,19.22843165,4604026.356,42
1964,Hilda ,38,110,968,8,12,94.71842189,43.60016962,10365336.95,37
1965,Betsy ,81,155,948,10,14,96.97741012,1085.540224,164551485.7,45
1957,Audrey ,416,145,946,12,10,98.47279669,325.8185746,42345902.17,14
1960,Donna ,364,160,930,13,15,98.85459752,142.6813731,31368979.26,23
1959,Gracie ,22,130,957,10,8,99.45911549,297.2389092,62692809.24,49
1954,Hazel ,95,150,938,18,12,98.50461343,678.3809575,154315259.8,43
1955,Ione ,7,125,960,9,7,96.40470888,128.0801609,22230867.49,33
1958,Helene ,1,135,952,8,6,95.48202354,23.6692012,8089310.4,51
1955,Connie ,14,120,960,9,8,83.6461979,138.4323609,25305295.44,42
1954,Edna ,20,115,970,10,9,86.31880369,173.5545226,47820294.43,60
1954,Carol ,60,125,960,12,10,89.53229399,828.955396,129769919,50
1950,King ,50,140,945,15,12,99.80909959,1118.186799,132590714.1,39
1950,Easy ,30,125,952,12,10,99.5545657,1083.913286,151629321.6,34
1949,Key_West ,12,115,960,9,8,95.92745784,15.42027776,3384039.269,23
1948,Boca Chica ,20,110,965,8,7,95.92745784,15.42027776,3384039.269,23
1947,Fort_Lauderdale ,22,130,948,10,9,99.74546612,1468.503669,202778804,39
1945,New Orleans ,45,150,938,14,13,96.97741012,1085.540224,164551485.7,45
1944,Jacksonville ,18,120,957,10,10,97.83646198,1072.15354,170307144.8,41
1942,Galveston ,52,115,962,12,9,99.52274897,397.0468222,64287263.13,43
1941,Houston ,40,125,960,11,10,90.67769647,182.3250064,40441549.48,37
1938,New England ,682,120,941,17,12,89.69137766,1500.503864,227003201.9,41
1936,Pensacola ,12,105,950,10,9,97.86827871,282.6260759,44952513.28,29
1935,Florida Keys ,408,185,892,18,10,95.92745784,15.42027776,3384039.269,23
1934,Galveston ,40,130,940,12,8,99.52274897,397.0468222,64287263.13,43
1933,Outer Banks ,21,115,960,9,7,89.56411072,25.21566934,6790684.979,32
1933,Tampa Bay ,18,120,957,10,9,88.57779192,469.0758352,86375932.39,51
1933,Brownsville ,15,125,952,11,8,98.47279669,325.8185746,42345902.17,14
1932,Houston ,50,115,955,12,10,90.67769647,182.3250064,40441549.48,37
1929,Apalachicola ,15,105,965,8,9,70.66496977,8.65346608,1970684.576,32
1926,Great Miami ,372,150,930,15,14,99.80909959,1118.186799,132590714.1,39
1926,Cedar Key ,74,120,947,12,10,83.26439707,26.60208926,2925768.589,21
1926,Galveston ,38,125,955,10,9,99.52274897,397.0468222,64287263.13,43
1921,Tampa Bay ,93,115,960,11,8,88.57779192,469.0758352,86375932.39,51
1919,Corpus Christi ,284,140,931,16,14,97.55011136,299.5414346,47444338.04,37
1919,Key West ,772,125,945,12,13,95.92745784,15.42027776,3384039.269,23
1918,Morgan City ,34,120,960,8,10,94.71842189,43.60016962,10365336.95,37
1917,New Orleans ,18,115,970,7,8,96.97741012,1085.540224,164551485.7,45
1915,Galveston ,275,135,939,18,15,99.52274897,397.0468222,64287263.13,43
1915,Louisiana ,70,125,948,11,10,94.71842189,43.60016962,10365336.95,37
1906,Cuba-Florida ,353,120,958,12,9,98.15462934,679.3793039,100685812.8,45
1909,Brazoria ,26,115,962,10,7,99.1091314,228.6120454,35395696.97,38
1909,Florida_Keys ,10,105,970,8,6,95.92745784,15.42027776,3384039.269,23
1899,Key_West ,334,120,945,12,12,95.92745784,15.42027776,3384039.269,23
1898,Georgia ,179,115,950,9,9,98.6636971,461.2672109,88541366.06,42
1896,Cedar_Key ,70,130,942,14,13,83.26439707,26.60208926,2925768.589,21
1894,South Carolina ,34,110,960,10,8,99.45911549,297.2389092,62692809.24,49
1893,Cheniere_Caminada ,1000,140,934,20,15,98.15462934,679.3793039,100685812.8,45
1893,Sea_Islands ,1000,130,939,18,14,90.80496341,142.7953448,27324664.3,43
1893,Louisiana ,1100,125,941,14,13,94.71842189,43.60016962,10365336.95,37
1888,Key_West ,130,115,960,10,9,95.92745784,15.42027776,3384039.269,23
1886,Indianola ,150,140,933,20,15,85.14158447,19.22843165,4604026.356,42
1886,Sabine_Pass ,195,130,940,18,14,97.74101177,228.1249624,34299812.81,33
1885,Charleston ,35,110,950,12,10,99.45911549,297.2389092,62692809.24,49
1882,Mississippi ,50,100,970,8,7,97.20012727,209.3995808,37530903.59,33
1880,Southeast_Florida ,17,110,955,10,8,99.80909959,1118.186799,132590714.1,39
1879,Cape_Lookout ,46,115,950,9,10,97.10467706,50.32210886,12953559.99,43
1879,Louisiana ,43,120,945,12,9,96.97741012,1085.540224,164551485.7,45
1877,Indianola ,84,130,940,15,13,85.14158447,19.22843165,4604026.356,42
1875,Galveston ,26,125,947,14,12,99.52274897,397.0468222,64287263.13,43
1871,Tampa_Bay ,35,115,960,11,9,88.57779192,469.0758352,86375932.39,51
1869,New_England ,40,110,960,9,8,89.69137766,1500.503864,227003201.9,41
1860,Louisiana-Texas ,36,125,945,14,12,96.91377665,196.0278556,38254476.47,25
1860,Mississippi-Alabama ,55,115,950,12,10,97.20012727,209.3995808,37530903.59,33
1855,Mobile ,45,120,947,15,13,98.79096405,249.6095847,45779091.3,39
1854,Savannah ,34,110,960,10,9,98.6636971,461.2672109,88541366.06,42
1852,Pensacola ,19,100,970,8,7,97.86827871,282.6260759,44952513.28,29
1851,Tampa_Bay ,30,105,955,9,8,88.57779192,469.0758352,86375932.39,51
