Year,Fatalities,Max Wind Speed_mph,Pressure_MB,Storm Surge_ft,Precip_total_in,RISK_SCORE,Population Density,Fatality Rate,Damage Index,Preparedness_Score
2007,1,85,985,6,18,99.52274897,397.0468222,2.85e-06,64287263.13,43
2006,9,70,994,4,15,99.80909959,1118.186799,3.33e-06,132590714.1,39
2006,5,65,997,3,18,74.00572701,14.2028116,0.000230521,2377484.992,27
2005,42,150,946,7,18,91.37766465,38.12573296,0.001144227,7133036.4,20
2005,120,120,937,15,32,98.15462934,679.3793039,0.000272362,100685812.8,45
2005,87,150,882,12,35,98.85459752,142.6813731,0.000231726,31368979.26,23
2004,15,150,947,6,25,96.59560929,195.1654565,8.03e-05,32883219.68,19
2004,7,105,960,4,22,96.53197582,208.019349,4.42e-05,38546008.35,30
2004,92,140,946,10,30,70.21953548,93.01727792,0.003258598,11729769.11,33
2004,3,120,950,6,20,98.31371301,473.3492404,9.12e-06,63775853.06,28
2003,2,90,980,4,15,85.14158447,19.22843165,9.97e-05,4604026.356,42
2003,51,105,957,7,28,99.1091314,228.6120454,0.000137291,35395696.97,38
2002,7,70,964,5,18,88.45052498,48.4461571,0.000217155,8563994.824,25
2002,15,90,953,6,22,89.85046134,36.79378339,0.000261702,4645807.564,38
2000,12,110,980,7,24,98.79096405,249.6095847,2.89e-05,45779091.3,39
1999,7,125,944,8,20,98.47279669,325.8185746,1.67e-05,42345902.17,14
1999,57,155,921,10,25,98.50461343,678.3809575,0.000252947,154315259.8,43
1998,3,115,954,5,20,98.50461343,678.3809575,1.33e-05,154315259.8,43
1998,16,105,964,8,28,97.20012727,209.3995808,7.68e-05,37530903.59,33
1997,9,70,984,6,20,95.99109131,135.8231469,6.29e-05,21889130.2,38
1996,12,105,977,6,20,98.50461343,678.3809575,5.33e-05,154315259.8,43
1996,37,120,960,8,28,98.50461343,678.3809575,0.000164193,154315259.8,43
1995,6,85,984,4,18,97.07286032,256.3151335,3.76e-05,45932259.66,31
1995,59,115,942,8,26,91.37766465,38.12573296,0.001607367,7133036.4,20
1992,65,165,922,17,30,99.80909959,1118.186799,2.41e-05,132590714.1,39
1992,6,95,980,5,18,98.50461343,678.3809575,2.66e-05,154315259.8,43
1989,49,140,934,20,30,99.45911549,297.2389092,0.00012018,62692809.24,49
1989,3,75,987,6,20,99.52274897,397.0468222,8.56e-06,64287263.13,43
1988,4,65,987,4,16,95.99109131,135.8231469,2.79e-05,21889130.2,38
1988,318,125,888,8,28,98.47279669,325.8185746,0.000756993,42345902.17,14
1987,3,110,988,6,18,96.72287623,569.9956771,4.84e-06,88099559.43,32
1986,5,75,995,4,16,99.52274897,397.0468222,1.43e-05,64287263.13,43
1986,8,75,990,6,22,98.47279669,325.8185746,1.9e-05,42345902.17,14
1985,4,110,953,10,26,97.20012727,209.3995808,1.92e-05,37530903.59,33
1985,8,105,946,6,20,98.1228126,27960.14273,2.92e-06,3383459508.0,7
1984,3,115,954,6,22,98.50461343,678.3809575,1.33e-05,154315259.8,43
1983,21,115,962,12,20,99.52274897,397.0468222,5.99e-05,64287263.13,43
1980,269,190,899,15,28,98.47279669,325.8185746,0.00064035,42345902.17,14
1980,5,85,995,4,18,99.52274897,397.0468222,1.43e-05,64287263.13,43
1977,5,65,990,4,18,96.37289214,52.05432755,4.57e-05,10439344.18,43
1977,3,75,987,6,20,99.52274897,397.0468222,8.56e-06,64287263.13,43
1976,12,105,970,6,24,98.1228126,27960.14273,4.39e-06,3383459508.0,7
1975,76,120,955,14,32,97.48647789,118.0328849,0.000434611,21813530.08,23
1974,8,130,928,10,30,94.71842189,43.60016962,0.000162229,10365336.95,37
1972,122,75,978,4,36,97.48647789,118.0328849,0.000697665,21813530.08,23
1971,37,115,960,10,28,98.47279669,325.8185746,8.81e-05,42345902.17,14
1971,1,85,970,4,16,97.10467706,50.32210886,1.48e-05,12953559.99,43
1970,28,125,944,10,20,97.55011136,299.5414346,7.94e-05,47444338.04,37
1969,259,190,900,24,36,97.20012727,209.3995808,0.001243548,37530903.59,33
1969,2,75,995,6,16,98.47279669,325.8185746,4.76e-06,42345902.17,14
1968,3,70,987,6,16,99.52274897,397.0468222,8.56e-06,64287263.13,43
1968,5,85,965,4,20,83.26439707,26.60208926,0.000116959,2925768.589,21
1967,58,160,923,18,27,98.47279669,325.8185746,0.000138068,42345902.17,14
1967,2,90,923,18,27,98.47279669,325.8185746,4.76e-06,42345902.17,14
1961,43,175,931,22,13,85.14158447,19.22843165,0.00214389,4604026.356,42
1964,38,110,968,8,12,94.71842189,43.60016962,0.000770588,10365336.95,37
1965,81,155,948,10,14,96.97741012,1085.540224,0.000211154,164551485.7,45
1957,416,145,946,12,10,98.47279669,325.8185746,0.00099028,42345902.17,14
1960,364,160,930,13,15,98.85459752,142.6813731,0.000969521,31368979.26,23
1959,22,130,957,10,8,99.45911549,297.2389092,5.4e-05,62692809.24,49
1954,95,150,938,18,12,98.50461343,678.3809575,0.000421578,154315259.8,43
1955,7,125,960,9,7,96.40470888,128.0801609,7e-05,22230867.49,33
1958,1,135,952,8,6,95.48202354,23.6692012,2.71e-05,8089310.4,51
1955,14,120,960,9,8,83.6461979,138.4323609,0.000346046,25305295.44,42
1954,20,115,970,10,9,86.31880369,173.5545226,8.74e-05,47820294.43,60
1954,60,125,960,12,10,89.53229399,828.955396,0.000103681,129769919.0,50
1950,50,140,945,15,12,99.80909959,1118.186799,1.85e-05,132590714.1,39
1950,30,125,952,12,10,99.5545657,1083.913286,2.06e-05,151629321.6,34
1949,12,115,960,9,8,95.92745784,15.42027776,0.000145649,3384039.269,23
1948,20,110,965,8,7,95.92745784,15.42027776,0.000242748,3384039.269,23
1947,22,130,948,10,9,99.74546612,1468.503669,1.13e-05,202778804.0,39
1945,45,150,938,14,13,96.97741012,1085.540224,0.000117308,164551485.7,45
1944,18,120,957,10,10,97.83646198,1072.15354,1.81e-05,170307144.8,41
1942,52,115,962,12,9,99.52274897,397.0468222,0.000148369,64287263.13,43
1941,40,125,960,11,10,90.67769647,182.3250064,0.000373396,40441549.48,37
1936,12,105,950,10,9,97.86827871,282.6260759,3.73e-05,44952513.28,29
1935,408,185,892,18,10,95.92745784,15.42027776,0.004952057,3384039.269,23
1934,40,130,940,12,8,99.52274897,397.0468222,0.00011413,64287263.13,43
1933,21,115,960,9,7,89.56411072,25.21566934,0.000629364,6790684.979,32
1933,18,120,957,10,9,88.57779192,469.0758352,4.26e-05,86375932.39,51
1933,15,125,952,11,8,98.47279669,325.8185746,3.57e-05,42345902.17,14
1932,50,115,955,12,10,90.67769647,182.3250064,0.000466744,40441549.48,37
1929,15,105,965,8,9,70.66496977,8.65346608,0.001207146,1970684.576,32
1926,372,150,930,15,14,99.80909959,1118.186799,0.000137845,132590714.1,39
1926,74,120,947,12,10,83.26439707,26.60208926,0.001730994,2925768.589,21
1926,38,125,955,10,9,99.52274897,397.0468222,0.000108424,64287263.13,43
1921,93,115,960,11,8,88.57779192,469.0758352,0.000219927,86375932.39,51
1919,284,140,931,16,14,97.55011136,299.5414346,0.000805393,47444338.04,37
1918,34,120,960,8,10,94.71842189,43.60016962,0.000689473,10365336.95,37
1917,18,115,970,7,8,96.97741012,1085.540224,4.69e-05,164551485.7,45
1915,275,135,939,18,15,99.52274897,397.0468222,0.000784645,64287263.13,43
1915,70,125,948,11,10,94.71842189,43.60016962,0.001419504,10365336.95,37
1906,353,120,958,12,9,98.15462934,679.3793039,0.000801198,100685812.8,45
1909,26,115,962,10,7,99.1091314,228.6120454,7e-05,35395696.97,38
1909,10,105,970,8,6,95.92745784,15.42027776,0.000121374,3384039.269,23
1899,334,120,945,12,12,95.92745784,15.42027776,0.00405389,3384039.269,23
1898,179,115,950,9,9,98.6636971,461.2672109,0.000609839,88541366.06,42
1896,70,130,942,14,13,83.26439707,26.60208926,0.001637427,2925768.589,21
1894,34,110,960,10,8,99.45911549,297.2389092,8.34e-05,62692809.24,49
1888,130,115,960,10,9,95.92745784,15.42027776,0.001577861,3384039.269,23
1886,150,140,933,20,15,85.14158447,19.22843165,0.007478686,4604026.356,42
1886,195,130,940,18,14,97.74101177,228.1249624,0.000760572,34299812.81,33
1885,35,110,950,12,10,99.45911549,297.2389092,8.58e-05,62692809.24,49
1882,50,100,970,8,7,97.20012727,209.3995808,0.000240067,37530903.59,33
1880,17,110,955,10,8,99.80909959,1118.186799,6.3e-06,132590714.1,39
1879,46,115,950,9,10,97.10467706,50.32210886,0.000680222,12953559.99,43
1879,43,120,945,12,9,96.97741012,1085.540224,0.000112094,164551485.7,45
1877,84,130,940,15,13,85.14158447,19.22843165,0.004188064,4604026.356,42
1875,26,125,947,14,12,99.52274897,397.0468222,7.42e-05,64287263.13,43
1871,35,115,960,11,9,88.57779192,469.0758352,8.28e-05,86375932.39,51
1869,40,110,960,9,8,89.69137766,1500.503864,6.06e-05,227003201.9,41
1860,36,125,945,14,12,96.91377665,196.0278556,0.000166165,38254476.47,25
1860,55,115,950,12,10,97.20012727,209.3995808,0.000264074,37530903.59,33
1855,45,120,947,15,13,98.79096405,249.6095847,0.000108561,45779091.3,39
1854,34,110,960,10,9,98.6636971,461.2672109,0.000115835,88541366.06,42
1852,19,100,970,8,7,97.86827871,282.6260759,5.91e-05,44952513.28,29
1851,30,105,955,9,8,88.57779192,469.0758352,7.09e-05,86375932.39,51
