Hurricanes,Year,COUNTY_x,Lat,Lon,Landfall_pop/sq mile,Pathway Town,Pathway_Latitude,Pathway_Longitude,Pathway Town Population Densities ,Fatalities,Max Wind Speed_mph,Pressure_MB,Storm Surge_ft,Precip_total_in,Mapped_COUNTY,STATE,STATEABBRV,Latitude,Longitude,STATEFIPS,COUNTY_y,COUNTYTYPE,COUNTYFIPS,STCOFIPS,NRI_ID,POPULATION,BUILDVALUE,AGRIVALUE,AREA,RISK_VALUE,RISK_SCORE,RISK_RATNG,RISK_SPCTL,EAL_SCORE,EAL_RATNG,EAL_SPCTL,EAL_VALT,EAL_VALB,EAL_VALP,EAL_VALPE,EAL_VALA,ALR_VALB,ALR_VALP,ALR_VALA,ALR_NPCTL,ALR_VRA_NPCTL,SOVI_SCORE,SOVI_RATNG,SOVI_SPCTL,RESL_SCORE,RESL_RATNG,RESL_SPCTL,RESL_VALUE,CRF_VALUE,HRCN_EVNTS,HRCN_AFREQ,HRCN_EXPB,HRCN_EXPP,HRCN_EXPPE,HRCN_EXPA,HRCN_EXPT,HRCN_EXP_AREA,HRCN_HLRB,HRCN_HLRP,HRCN_HLRA,HRCN_HLRR,HRCN_EALB,HRCN_EALP,HRCN_EALPE,HRCN_EALA,HRCN_EALT,HRCN_EALS,HRCN_EALR,HRCN_ALRB,HRCN_ALRP,HRCN_ALRA,HRCN_ALR_NPCTL,HRCN_RISKV,HRCN_RISKS,HRCN_RISKR,Population Density,Fatality Rate,Damage Index,Preparedness,Emergency Preparedness,Preparedness_Score,Emergency_Preparedness
Barry ,2019,morgan city,29.6998407,-91.2101609,750,"Baton Rouge, LA",30.4514677,-91.1871466,950,3,75,993,5,24,st. mary,Louisiana,LA,29.502976,-91.443469,22,st. mary,Parish,101,22101,C22101,49313,11723483315,51762820,1131.02771,92508360.24,94.71842189,Relatively Moderate,84.375,93.90281647,Relatively Moderate,82.8125,70324538.44,58353898.22,0.901883062,10461843.52,1508796.702,0.004977522,1.83E-05,0.029148271,99.50479728,100,86.37999725,Very High,0.703125,78.12999725,Relatively High,0.765625,2.70384407,1.315449234,41,0.351928357,11723483303,49312.99941,5.72E+11,51721663.64,5.84E+11,689.540376,0.018944604,9.48E-06,0.068037577,Very High,51428336.82,0.108559021,1259284.649,774832.4412,53462453.91,96.15218331,Relatively High,0.00438678,2.20E-06,0.014968899,97.53566796,70339248.92,96.72498878,Relatively High,43.60016962,6.08E-05,10365336.95,37.39039008,Low,37,0
Michael ,2018,mexico beach,29.9397008,-85.4000291,1100,"Panama City, FL",30.1588129,-85.6602058,1000,74,160,919,14,34,bay,Florida,FL,30.1805306,-85.684578,12,bay,County,5,12005,C12005,174869,32317351193,3328101,1481.527798,190796027.3,97.48647789,Relatively High,74.62686567,97.18353451,Relatively High,71.64179104,153731609.9,134734224.4,1.632387218,18935691.73,61693.84934,0.004169099,9.33E-06,0.018537253,95.54317549,98.02736239,73.30000305,Relatively High,0.47761194,31.40999985,Relatively Low,0.567164179,2.523262978,1.241098219,53,0.292526228,32316890621,174864.8303,2.03E+12,3328101,2.06E+12,816.6794238,0.015218106,9.48E-06,0.04539033,Very High,129291214.9,0.433118502,5024174.627,37668.52445,134353058,98.57328145,Relatively High,0.004000675,2.48E-06,0.011318324,95.07133593,166683817.4,98.74383131,Relatively High,118.0328849,0.000423174,21813530.08,23.35671825,Low,23,0
Florence ,2018,wilmington,34.2300798,-77.9401406,950,"New Bern, NC",35.108493,-77.0441143,900,54,140,956,10,28,new hanover,North Carolina,NC,34.2154913,-77.8824596,37,new hanover,County,129,37129,C37129,225344,51260309582,5535212,332.1791355,283543106,98.50461343,Relatively High,100,98.70009285,Relatively High,100,267100436.8,246889632.8,1.731678647,20087472.31,123331.6478,0.00481639,7.68E-06,0.022281287,97.05973383,97.6773783,46.18000031,Relatively Moderate,0.21,82.26999664,Very High,0.97,2.722949982,1.061559874,61,0.396743391,51259827176,225340.8834,2.61E+12,5535212,2.67E+12,213.920451,0.012215502,9.48E-06,0.046023685,Very High,237980760.1,0.811686246,9415560.453,96773.47177,247493094,99.43795936,Very High,0.004642593,3.60E-06,0.017483246,98.01124081,262605950.2,99.37191566,Very High,678.3809575,0.000239634,154315259.8,42.80325436,Moderate,43,1
Harvey ,2017,rockport,28.0298448,-97.0499433,950,"Houston, TX",29.7600771,-95.3701108,1200,107,130,938,9,60,aransas,Texas,TX,28.0761262,-96.9638624,48,aransas,County,7,48007,C48007,23703,5141209888,2222758,533.2840426,26302975.92,84.50524976,Relatively Moderate,81.1023622,83.44165893,Relatively Low,83.46456693,22263519.61,19472968.41,0.239033692,2772790.831,17760.35948,0.003787624,1.01E-05,0.007990235,95.3265243,97.39102768,93.76000214,Very High,0.826771654,46.34000015,Relatively Moderate,0.811023622,2.584145069,1.181438352,25,0.176738508,5141209779,23702.9994,2.75E+11,2222758,2.80E+11,382.4114246,0.012215502,9.48E-06,0.046023685,Very High,8509969.408,0.030324552,351764.8067,14379.22687,8876113.442,84.95460441,Relatively Moderate,0.001655246,1.28E-06,0.006469092,89.14829226,10992417.75,87.75235532,Relatively Moderate,44.44723282,0.004514197,9640659.531,30.94167774,Low,31,0
Irma ,2017,naples,26.1404849,-81.7903416,1300,"Fort Myers, FL",26.6409247,-81.8605575,1200,92,185,914,18,46,collier,Florida,FL,26.069985,-81.4278984,12,collier,County,21,12021,C12021,375443,82542404972,217526620,2631.338568,332563613.1,98.85459752,Relatively High,88.05970149,99.04054472,Relatively High,89.55223881,307633018.9,282267755.3,1.741592663,20202474.89,5162788.733,0.00341967,4.64E-06,0.023734055,93.50046425,94.65478842,64.69999695,Relatively High,0.28358209,20.14999962,Relatively Low,0.402985075,2.474061012,1.081040046,71,0.296664259,82541645972,375437.0511,4.36E+12,216995326.5,4.44E+12,2069.305723,0.012215502,9.48E-06,0.046023685,Very High,267570216.3,0.942062955,10927930.28,2595715.819,281093862.4,99.61089494,Very High,0.003241609,2.51E-06,0.011932865,94.33635971,300875804.6,99.50650516,Very High,142.6813731,0.000245044,31368979.26,22.95050182,Low,23,0
Matthew ,2016,mcclellanville,33.080079,-79.469514,900,"Charleston, SC",32.7833163,-79.9319664,1100,603,120,947,6,42,mcclellanville,South Carolina,SC,33.080079,-79.469514,45,Charleston,County,19,45019,C45019,407722,85995597414,25671902,1371.697942,491072483.6,99.45911549,Relatively High,100,99.50479728,Very High,100,477153555.7,415756369.9,5.223048609,60587363.86,809821.883,0.004834624,1.28E-05,0.031545068,98.48344166,98.21826281,45.18999863,Relatively Moderate,0.043478261,92.70999908,Very High,1,2.786784887,1.029170752,61,0.361551203,85988400872,407699.2764,4.73E+12,25671902,4.82E+12,975.3305859,0.012215502,9.48E-06,0.046023685,Very High,343185404,1.261975433,14638915.02,384557.3366,358208876.3,99.69736273,Very High,0.003990732,3.10E-06,0.014979698,95.15780372,360703043.6,99.64109466,Very High,297.2389092,0.001478949,62692809.24,48.5723949,Moderate,49,1
Joaquin ,2015,southport,33.9199219,-78.0200516,850,"Wilmington, NC",34.2103894,-77.8868117,950,34,155,931,5,30,southport,North Carolina,NC,33.9199219,-78.0200516,37,Brunswick,County,19,37019,C37019,136245,29944769692,52847384,1060.138363,163797089.3,97.04104359,Relatively High,97,97.52398638,Relatively High,98,163208322.8,147288207.9,1.281361473,14863793.09,1056321.806,0.004918662,9.40E-06,0.019988157,98.01918911,97.45466115,40.83000183,Relatively Moderate,0.14,64.93000031,Relatively High,0.88,2.655308008,1.003607454,71,0.382423611,29944652197,136244.7751,1.58E+12,52847384,1.61E+12,885.0741504,0.012215502,9.48E-06,0.046023685,Very High,140456837,0.493631895,5726129.98,907474.6085,147090441.6,98.83268482,Relatively High,0.00469053,3.62E-06,0.017171609,98.18417639,147064050.5,98.38492598,Relatively High,128.5162435,0.00024955,28246095.73,38.02250993,Low,38,0
Arthur ,2014,cape lookout,34.62,-76.53,950,"Wilmington, NC",34.2103894,-77.8868117,1000,1,100,973,4,22,carteret,North Carolina,NC,34.9019263,-76.5488232,37,carteret,County,31,37031,C37031,67625,17407547380,27270548,1343.842727,165620217.2,97.10467706,Relatively High,98,97.33828536,Relatively High,97,161073813.6,151902464.1,0.703789427,8163957.355,1007392.145,0.008726242,1.04E-05,0.036940664,99.93809966,99.84091632,40.06999969,Relatively Moderate,0.12,83.09999847,Very High,0.99,2.727071047,1.028225591,87,0.708654255,17407545928,67624.99732,7.84E+11,26854239.97,8.02E+11,564.5088611,0.018944604,9.48E-06,0.068037577,Very High,148502537.6,0.290552947,3370414.181,846764.2171,152719716,98.87591872,Relatively High,0.008530928,4.30E-06,0.031050502,99.91353221,157127009.1,98.56437865,Relatively High,50.32210886,1.48E-05,12953559.99,43.35877025,Moderate,43,1
Ingrid ,2013,port isabel,26.0701203,-97.2197413,850,"Brownsville, TX",25.9017472,-97.4974838,900,23,65,989,6,18,port isabel,Texas,TX,26.0701203,-97.2197413,48,Cameron,County,61,48061,C48061,420083,54597236036,140604731,1289.315689,271688662.1,98.47279669,Relatively High,96.8503937,97.74063757,Relatively High,96.06299213,166163711.6,129647307.3,2.945530422,34168152.9,2348251.387,0.002374613,7.01E-06,0.016701084,86.81522748,94.30480433,98.27999878,Very High,0.937007874,7.860000134,Very Low,0.212598425,2.400382042,1.635066161,30,0.174195063,54592759133,420069.8713,4.87E+12,140072029.4,4.93E+12,1081.517893,0.012215502,9.48E-06,0.046023685,Relatively High,104524564.1,0.624531512,7244565.537,1000389.622,112769519.2,98.0977086,Relatively High,0.001914466,1.49E-06,0.007114907,90.40207523,185905524.6,98.83355765,Relatively High,325.8185746,5.48E-05,42345902.17,13.53679602,Low,14,0
Isaac ,2012,new orleans,29.9499831,-90.0700911,950,"Baton Rouge, LA",30.4514677,-91.1871466,900,41,80,965,7,25,orleans,Louisiana,LA,29.9508941,-90.0758356,22,orleans,Parish,71,22071,C22071,383606,58148869846,233932,353.3779692,160337596.5,96.97741012,Relatively High,93.75,96.93593315,Relatively High,92.1875,145193891,126561899.2,1.605621332,18625207.45,6784.375524,0.002176515,4.19E-06,0.029001486,84.98916744,85.077951,83.29000092,Very High,0.59375,99.40000153,Very High,0.96875,2.908354998,1.104299881,34,0.266190086,58134026493,383487.1875,4.45E+12,233932,4.51E+12,212.433338,0.007857425,9.48E-06,0.014778741,Relatively High,122459629.1,0.968042284,11229290.49,885.3058845,133689804.9,98.48681366,Relatively High,0.002105967,2.52E-06,0.003784458,91.52615651,147349034.5,98.42978914,Relatively High,1085.540224,0.00010688,164551485.7,45.28102018,Moderate,45,1
Sandy ,2012,atlantic city,39.3599268,-74.4202557,1800,"New York, NY",40.7127753,-74.0059728,2700,233,85,940,13,32,atlantic city,New Jersy,NJ,39.3599268,-74.4202557,34,Atlantic,County,1,34001,C34001,274261,61387375735,138406740,678.6176849,159605739.7,96.94559338,Relatively High,90.47619048,96.62643145,Relatively High,85.71428571,132517193.5,125154185,0.504192652,5848634.759,1514373.82,0.002038761,1.84E-06,0.010941475,88.39368617,89.24594337,87.70999908,Very High,0.857142857,79.76000214,Relatively High,0.476190476,2.711924076,1.204415333,31,0.185586442,61380676960,274235.1487,3.18E+12,138406740,3.24E+12,592.7195435,0.00230504,1.14E-06,0.046023685,Relatively Moderate,27578013.25,0.060138951,697611.8358,1012742.5,29288367.58,94.03372244,Relatively Moderate,0.000449246,2.19E-07,0.007317147,81.45265888,35935597.07,94.66128309,Relatively Moderate,404.1465557,0.000849556,90459439.98,39.13295086,Low,39,0
Irene ,2011,cape lookout,34.62,-76.53,1200,"Norfolk, VA",36.8507689,-76.2858726,950,49,85,952,8,36,carteret,North Carolina,NC,34.9019263,-76.5488232,37,carteret,County,31,37031,C37031,67625,17407547380,27270548,1343.842727,165620217.2,97.10467706,Relatively High,98,97.33828536,Relatively High,97,161073813.6,151902464.1,0.703789427,8163957.355,1007392.145,0.008726242,1.04E-05,0.036940664,99.93809966,99.84091632,40.06999969,Relatively Moderate,0.12,83.09999847,Very High,0.99,2.727071047,1.028225591,87,0.708654255,17407545928,67624.99732,7.84E+11,26854239.97,8.02E+11,564.5088611,0.018944604,9.48E-06,0.068037577,Very High,148502537.6,0.290552947,3370414.181,846764.2171,152719716,98.87591872,Relatively High,0.008530928,4.30E-06,0.031050502,99.91353221,157127009.1,98.56437865,Relatively High,50.32210886,0.000724584,12953559.99,43.35877025,Moderate,43,1
Ida ,2009,dauphin island,30.2501389,-88.1101054,850,"Mobile, AL",30.6953657,-88.0398912,900,8,70,987,6,22,dauphin island,Alabama,AL,30.2501389,-88.1101054,1,Mobile,County,97,1097,C01097,414514,76023019218,103890465,1660.649372,319033182.2,98.79096405,Relatively High,100,98.79294336,Relatively High,100,274696080.4,237030604,3.098080408,35937732.73,1727743.638,0.003117879,7.47E-06,0.016630435,92.26245744,93.22303532,79.47000122,Relatively High,0.671641791,74.59999847,Relatively High,0.955223881,2.691123962,1.161404203,49,0.262145716,76022528045,414509.019,4.81E+12,103890465,4.88E+12,1271.401428,0.012215502,9.48E-06,0.046023685,Very High,228981476.5,0.96975154,11249117.86,1267692.311,241498286.7,99.35149157,Very High,0.003012002,2.34E-06,0.012202201,94.16342412,280910700.9,99.41677882,Very High,249.6095847,1.93E-05,45779091.3,38.62305517,Low,39,0
Gustav ,2008,cocodrie,29.2502075,-90.6601353,850,"New Orleans, LA",29.9508941,-90.0758356,1200,153,105,960,12,32,terrebonne,Louisiana,LA,29.2299682,-90.7532809,22,terrebonne,Parish,109,22109,C22109,109484,21956698171,34563504,2103.264131,138263891.4,96.37289214,Relatively High,89.0625,96.34787991,Relatively High,87.5,119251823.2,102399839.2,1.392475538,16152716.24,699267.7364,0.004663718,1.27E-05,0.02023139,98.08108945,99.17276487,86,Very High,0.6875,94.75,Very High,0.90625,2.801381111,1.159427903,60,0.375648358,21956260563,109482.5736,1.27E+12,34554698.08,1.29E+12,1431.678193,0.015218106,9.48E-06,0.04539033,Very High,95827041.51,0.297773257,3454169.778,450861.0703,99732072.36,97.79507134,Relatively High,0.004364365,2.72E-06,0.013044426,97.44920017,115411776,97.89143114,Relatively High,52.05432755,0.001397464,10439344.18,42.65175695,Moderate,43,1
Ike ,2008,galveston,29.2997754,-94.7900542,1000,"Houston, TX",29.7600771,-95.3701108,1200,195,110,935,15,45,galveston,Texas,TX,29.3013479,-94.7976958,48,galveston,County,167,48167,C48167,350477,56746977585,10592645,882.7094952,553807380.9,99.52274897,Relatively High,99.60629921,99.53574745,Very High,99.60629921,496002488.1,462634875.4,2.861292812,33190996.62,176616.1088,0.008152591,8.16E-06,0.016673466,99.6904983,99.36366529,73.51999664,Relatively High,0.460629921,90.36000061,Very High,0.996062992,2.76761198,1.116541538,43,0.270302987,56746143140,350468.7538,4.07E+12,10576824.23,4.12E+12,415.1159619,0.00979943,9.48E-06,0.016903177,Relatively High,123172087,0.732377496,8495578.952,38105.23393,131705771.2,98.40034587,Relatively High,0.002170549,2.09E-06,0.003597329,91.74232598,143940042.8,98.34006281,Relatively High,397.0468222,0.000556385,64287263.13,42.7667731,Moderate,43,1
Humberto ,2007,high island,29.57,-94.4,850,"Beaumont, TX",30.080174,-94.1265562,900,1,85,985,6,18,high island,Texas,TX,29.57,-94.4,48,Galveston,County,167,48167,C48167,350477,56746977585,10592645,882.7094952,553807380.9,99.52274897,Relatively High,99.60629921,99.53574745,Very High,99.60629921,496002488.1,462634875.4,2.861292812,33190996.62,176616.1088,0.008152591,8.16E-06,0.016673466,99.6904983,99.36366529,73.51999664,Relatively High,0.460629921,90.36000061,Very High,0.996062992,2.76761198,1.116541538,43,0.270302987,56746143140,350468.7538,4.07E+12,10576824.23,4.12E+12,415.1159619,0.00979943,9.48E-06,0.016903177,Relatively High,123172087,0.732377496,8495578.952,38105.23393,131705771.2,98.40034587,Relatively High,0.002170549,2.09E-06,0.003597329,91.74232598,143940042.8,98.34006281,Relatively High,397.0468222,2.85E-06,64287263.13,42.7667731,Moderate,43,1
Ernesto ,2006,miami-dade,25.5516,-80.6327,160,"Bruswick, NC",34.0275,-78.202,1200,9,70,994,4,15,miami-dade,Florida,FL,25.5516,-80.6327,12,Miami-Dade,County,86,12086,C12086,2698679,3.20E+11,960869503,2413.442013,1301109037,99.80909959,Very High,100,99.78334881,Very High,100,959496229.2,802495653.6,10.79630533,125237141.8,31763433.81,0.002511139,4.00E-06,0.033056969,86.84617765,89.34139357,90.06999969,Very High,0.850746269,37.11000061,Relatively Low,0.641791045,2.545964003,1.356033507,62,0.321119523,3.20E+11,2698638.632,3.13E+13,957966933.3,3.16E+13,2012.216045,0.007857425,9.48E-06,0.014778741,Relatively High,739709650.5,7.550028908,87580335.33,4451566.429,831741552.3,99.87029831,Very High,0.002314671,2.80E-06,0.004632852,92.82317337,1133826281,99.95513683,Very High,1118.186799,3.33E-06,132590714.1,38.85060547,Low,39,0
